"Rec";"Ass";"Rule";"size";"risk";"med.size";"med.all";"me";"rmse";"cv";"Rule.label"
"REClow";"ASSnone";"HCR9";5500;"3";0.004;0.0038;0.000276363636363636;0.000513423125487277;0.106682474595625;"HCR45"
"REClow";"ASSnone";"HCR9";6000;"1";0.00286666666666667;0.00288;-5.50000000000019e-06;0.000196028626027482;0.0685123050833831;"HCR45"
"REClow";"ASSnone";"HCR9";6000;"2";0.0214166666666667;0.0214;6.66666666666677e-05;0.00129357386079548;0.060482746162508;"HCR45"
"REClow";"ASSnone";"HCR9";6000;"3";0.004;0.0038;0.000258333333333333;0.000474634362196605;0.0986066937357861;"HCR45"
"REClow";"ASSnone";"HCR9";6500;"1";0.0029;0.00288;7.53846153846136e-06;0.000140189221238579;0.0487237199836303;"HCR45"
"REClow";"ASSnone";"HCR9";6500;"2";0.0213846153846154;0.0214;6.92307692307699e-05;0.000908213670347412;0.0423924497058994;"HCR45"
"REClow";"ASSnone";"HCR9";6500;"3";0.004;0.0038;0.000247692307692308;0.000411836699986319;0.0816967701622218;"HCR45"
"REClow";"ASSnone";"HCR9";7000;"1";0.00287857142857143;0.00288;-1.60000000000002e-05;0.000135649608648645;0.0472700081565194;"HCR45"
"REClow";"ASSnone";"HCR9";7000;"2";0.0212857142857143;0.0214;-0.000109999999999999;0.000832772600462835;0.0389682638980793;"HCR45"
"REClow";"ASSnone";"HCR9";7000;"3";0.004;0.0038;0.000162857142857143;0.000360611725165074;0.0815985972461591;"HCR45"
"REClow";"ASSnone";"HCR9";7500;"1";0.00282666666666667;0.00288;-2.53333333333335e-05;0.000138576894017565;0.0479663622826321;"HCR45"
"REClow";"ASSnone";"HCR9";7500;"2";0.0214;0.0214;-1.33333333333222e-06;0.000825267633357002;0.0387605503480607;"HCR45"
"REClow";"ASSnone";"HCR9";7500;"3";0.00386666666666667;0.0038;0.000124;0.000320832251080426;0.0757878639899627;"HCR45"
"REClow";"ASSnone";"HCR9";8000;"1";0.00289375;0.00288;-2.75000000000019e-06;0.00010504165840275;0.0366790003297387;"HCR45"
"REClow";"ASSnone";"HCR9";8000;"2";0.0215;0.0214;8.5000000000001e-05;0.00067462952796331;0.0313067204949514;"HCR45"
"REClow";"ASSnone";"HCR9";8000;"3";0.004;0.0038;0.00014;0.000280735640772596;0.0620715913591017;"HCR45"
"REClow";"ASSnone";"HCR9";8500;"1";0.00290588235294118;0.00288;4.35294117647042e-06;0.000102290718070899;0.0356103827379763;"HCR45"
"REClow";"ASSnone";"HCR9";8500;"2";0.0214117647058824;0.0214;3.41176470588246e-05;0.00066673817378904;0.0312221477530267;"HCR45"
"REClow";"ASSnone";"HCR9";8500;"3";0.00388235294117647;0.0038;8.82352941176471e-05;0.000217885402087672;0.0514947142058151;"HCR45"
"REClow";"ASSnone";"HCR9";9000;"1";0.00288888888888889;0.00288;5.55555555555537e-06;7.42867317797635e-05;0.0258015820346509;"HCR45"
"REClow";"ASSnone";"HCR9";9000;"2";0.0214444444444444;0.0214;7.44444444444457e-05;0.000494987217692551;0.0229026828126969;"HCR45"
"REClow";"ASSnone";"HCR9";9000;"3";0.00388888888888889;0.0038;0.00011;0.000185059216415306;0.0382527137679235;"HCR45"
"REClow";"ASSnone";"HCR9";9500;"1";0.00288421052631579;0.00288;1.99999999999983e-06;4.67941800960197e-05;0.016303589597362;"HCR45"
"REClow";"ASSnone";"HCR9";9500;"2";0.0214736842105263;0.0214;1.36842105263161e-05;0.000309086761345065;0.0144925685886216;"HCR45"
"REClow";"ASSnone";"HCR9";9500;"3";0.00389473684210526;0.0038;5.15789473684211e-05;0.000115406063778238;0.0269392161916653;"HCR45"
"REClow";"ASSnone";"HCR9";10000;"1";0.00288;0.00288;0;0;0;"HCR45"
"REClow";"ASSnone";"HCR9";10000;"2";0.0214;0.0214;0;0;0;"HCR45"
"REClow";"ASSnone";"HCR9";10000;"3";0.0038;0.0038;0;0;0;"HCR45"
"REClow";"ASSss3";"HCR8";500;"1";0.0474;0.04848;-0.000858000000000002;0.0049996079846324;0.10394878522434;"HCR40"
"REClow";"ASSss3";"HCR8";500;"2";0.222;0.224;-0.00314;0.0170985379491932;0.076484752982303;"HCR40"
"REClow";"ASSss3";"HCR8";500;"3";0.06;0.0537;0.0072;0.0101680873324338;0.118489384872122;"HCR40"
"REClow";"ASSss3";"HCR8";1000;"1";0.0482;0.04848;-0.000164000000000003;0.00369047964362358;0.0766911056373834;"HCR40"
"REClow";"ASSss3";"HCR8";1000;"2";0.2225;0.224;-0.000840000000000004;0.0126585939187573;0.056884405237201;"HCR40"
"REClow";"ASSss3";"HCR8";1000;"3";0.059;0.0537;0.00532;0.00800012499902346;0.101745420863819;"HCR40"
"REClow";"ASSss3";"HCR8";1500;"1";0.0484666666666667;0.04848;0.000197999999999998;0.00253063189298202;0.0520889084239284;"HCR40"
"REClow";"ASSss3";"HCR8";1500;"2";0.223333333333333;0.224;0.000259999999999997;0.00924602016485411;0.0414203386090345;"HCR40"
"REClow";"ASSss3";"HCR8";1500;"3";0.0566666666666667;0.0537;0.00396;0.00598269727352694;0.0781673371419066;"HCR40"
"REClow";"ASSss3";"HCR8";2000;"1";0.048525;0.04848;9.7499999999998e-05;0.00272161257345714;0.0562723021156467;"HCR40"
"REClow";"ASSss3";"HCR8";2000;"2";0.224;0.224;0.000364999999999997;0.00909958790275692;0.0407285883207736;"HCR40"
"REClow";"ASSss3";"HCR8";2000;"3";0.0565;0.0537;0.002755;0.00470802506365461;0.0679659433857364;"HCR40"
"REClow";"ASSss3";"HCR8";2500;"1";0.04892;0.04848;0.000152399999999998;0.00201670225863909;0.0415580227417754;"HCR40"
"REClow";"ASSss3";"HCR8";2500;"2";0.2244;0.224;0.000227999999999996;0.00741490391036863;0.0332194684045021;"HCR40"
"REClow";"ASSss3";"HCR8";2500;"3";0.0564;0.0537;0.002736;0.00411489975576563;0.0547351524043686;"HCR40"
"REClow";"ASSss3";"HCR8";3000;"1";0.04855;0.04848;0.000119999999999998;0.00183754667363248;0.0379189645971071;"HCR40"
"REClow";"ASSss3";"HCR8";3000;"2";0.2245;0.224;0.000946666666666662;0.00607032856515106;0.026789750147871;"HCR40"
"REClow";"ASSss3";"HCR8";3000;"3";0.0556666666666667;0.0537;0.00238666666666667;0.00373181516750823;0.0514078837694144;"HCR40"
