period,scenario,Ass,Rule,Rec,INN,OER,q025,q50,q975,Mean,Median_Last_Yr,Risk1_med,Risk2_med,Risk3_med,Risk1_low,Risk2_low,Risk3_low,Risk1_meanR_low,Risk1_Q975_low,Risk1_meanR_med,Risk1_Q975_med,Risk1_rec2019
last,ASSss3_HCR8_RECmix_INNvar_OERnaq,ASSss3,HCR8,RECmix,INNvar,OERnaq,4033169.471,11805228.89,33431866.88,13590355.3,11613328.16,0.0903,0.155,0.094,0.0024,0.016,0.006,0.829,0.2881,0.4669,0.0224,0.2637
last,ASSss3_HCR9_REClow_INNvar_OERnaq,ASSss3,HCR9,REClow,INNvar,OERnaq,3026839.086,7019766.517,15950809.29,7654730.516,7063057.565,0.8455,0.996,0.864,0.0496,0.243,0.064,0.503,0.0245,0.0868,0,0.0183
last,ASSss3_HCR9_REClowmed_INNvar_OERnaq,ASSss3,HCR9,REClowmed,INNvar,OERnaq,4436471.226,12514927.43,34381071.05,14271622.9,12495564.67,0.0205,0.097,0.028,0,0,0,0.8648,0.3212,0.5121,0.0251,0.295
last,ASSss3_HCR9_RECmix_INNvar_OERnaq,ASSss3,HCR9,RECmix,INNvar,OERnaq,4028050.562,11615461.49,33298013.68,13407945.67,11507951.73,0.1279,0.195,0.14,0.0044,0.026,0.008,0.8162,0.281,0.4572,0.0222,0.2558
all,ASSnone_HCR0_REClow_INNvar_OERnone,ASSnone,HCR0,REClow,INNvar,OERnone,3047801.339,6993471.07,15934373,7641765.2,7037890.162,0.56436,1,0.597,6.00E-05,0.002,0.001,0.5001,0.02408,0.0893,1.00E-04,0.01928
all,ASSnone_HCR0_REClowmed_INNvar_OERnone,ASSnone,HCR0,REClowmed,INNvar,OERnone,4408987.8,12310014.41,34023712.79,14103985.83,12440812.66,0.03218,0.645,0.162,0,0,0,0.85848,0.30764,0.49784,0.02382,0.278
all,ASSnone_HCR0_RECmix_INNvar_OERnone,ASSnone,HCR0,RECmix,INNvar,OERnone,4077122.302,11711698.32,33467072.4,13529426.81,11841405.22,0.09424,0.716,0.319,0,0,0,0.82572,0.28242,0.46196,0.02186,0.25514
all,ASSnone_HCR10_REClow_INNvar_OERnone,ASSnone,HCR10,REClow,INNvar,OERnone,3046591.508,6993206.593,15934373,7640875.175,7036466.562,0.71392,1,0.762,0.00286,0.095,0.008,0.50002,0.02408,0.08928,1.00E-04,0.01926
all,ASSnone_HCR10_REClowmed_INNvar_OERnone,ASSnone,HCR10,REClowmed,INNvar,OERnone,4406401.744,12309160.67,34011616.08,14099076.77,12440812.66,0.03106,0.577,0.162,4.00E-05,0.002,0.001,0.8583,0.30734,0.4978,0.02378,0.27792
all,ASSnone_HCR10_RECmix_INNvar_OERnone,ASSnone,HCR10,RECmix,INNvar,OERnone,4003369.045,11449284.49,33210856.12,13256989.63,11657150.27,0.13536,0.665,0.319,0.00062,0.019,0.003,0.81018,0.27012,0.4452,0.02094,0.24354
all,ASSnone_HCR11_REClow_INNvar_OERnone,ASSnone,HCR11,REClow,INNvar,OERnone,3047332.904,6993275.781,15934373,7641687.514,7036466.562,0.48406,1,0.507,0.00032,0.014,0.002,0.50006,0.02408,0.0893,1.00E-04,0.01928
all,ASSnone_HCR11_REClowmed_INNvar_OERnone,ASSnone,HCR11,REClowmed,INNvar,OERnone,4422410.323,12332938.27,34101985.72,14128998.76,12440812.66,0.00724,0.222,0.162,0,0,0,0.85944,0.3087,0.49932,0.02402,0.27922
all,ASSnone_HCR11_RECmix_INNvar_OERnone,ASSnone,HCR11,RECmix,INNvar,OERnone,4279651.362,12064381.41,33814130.8,13866365.65,12402287.51,0.04198,0.369,0.319,6.00E-05,0.002,0.001,0.8443,0.29728,0.4827,0.0231,0.2688
