"period";"scenario";"Ass";"Rule";"Rec";"INN";"OER";"P5th_B1plus";"P10th_B1plus";"Median_B1plus";"P90th_B1plus";"P95th_B1plus";"Mean_B1plus";"Median_lastB1plus";"IAV1_B1plus";"IAV2_B1plus";"avg_P_B1plus_Blim";"avg_P_B1plus_Blow";"once_P_B1plus_Blim";"once_P_B1plus_Blow";"max_P_B1plus_Blim";"max_P_B1plus_Blow";"years_B1plus_under_Blim";"years_get_B1plus_up_Blim";"firstyear_B1plus_Blim";"years_B1plus_under_Blow";"years_get_B1plus_up_Blow";"firstyear_B1plus_Blow";"closure";"closure_once";"years_closure";"P5th_F";"Median_F";"P95th_F";"P5th_Catch";"Median_Catch";"P95th_Catch";"Mean_Catch";"StDev_Catch";"IAV1_Catch";"IAV2_Catch"
"short";"ASSnone_HCR9_REClow_INNvar_OERnone";"ASSnone";"HCR9";"REClow";"INNvar";"OERnone";238329.315028422;254100.931034353;315690.919720199;397167.275989079;423538.191476228;321502.324288399;301363.484735893;31432.7862038326;0.99093654129892;0.6462;0.0012;0.99;0.008;0.749;0.003;6.462;5.08791666666667;NA;0.012;0.012;2021;0;0;0;0.0515837524044253;0.083420072105484;0.122070021481699;13206.193977062;25501.5520775398;45000;26716.9496687305;7819.68075271601;5635.5198640934;0.997534952238491
"short";"ASSnone_HCR9_REClowmed_INNvar_OERnone";"ASSnone";"HCR9";"REClowmed";"INNvar";"OERnone";332532.157536834;362170.956175058;502763.509823431;710943.624176976;776530.888702285;522900.891499753;544580.559424625;65177.9399431691;1.04599755690256;0.0574;1e-04;0.292;0.001;0.162;0.001;0.574;0.520166666666667;2024;0.001;0.001;2021;0;0;0;0.0571391669667519;0.0841402577593541;0.113548960053968;25252.8719628912;45000;45000;41153.5454998456;5516.94165948135;3150.64589260739;1.0483764686419
"short";"ASSnone_HCR9_RECmix_INNvar_OERnone";"ASSnone";"HCR9";"RECmix";"INNvar";"OERnone";259221.219276702;279038.998951895;455097.164943674;683626.517848389;752951.934770244;470988.417219544;504749.98159188;56435.0103489343;1.03771354564882;0.237;8e-04;0.422;0.004;0.319;0.002;2.37;2.24366666666667;NA;0.008;0.008;2021;0;0;0;0.0548911031807216;0.0823554718238351;0.114248618144352;16320.2529358061;45000;45000;36971.074101227;5885.46679073873;3449.69051233142;1.03532054795306
"short";"ASSss3_HCR10_REClow_INNvar_OERnaq";"ASSss3";"HCR10";"REClow";"INNvar";"OERnaq";224965.85974037;240756.912113267;306695.13533847;394451.118434292;426571.721894393;313801.105414466;287372.504350511;32011.4785223408;0.984390873532911;0.6914;0.0096;0.994;0.06;0.803;0.022;6.914;5.56733333333333;NA;0.096;0.0945;2021;0;0;0;0.0542322562304629;0.102545088340406;0.170013374056392;15372.4963438613;29854.1389192946;50000;31566.9644824962;8810.00755723807;6575.36191072826;1.0286273230339
"short";"ASSss3_HCR10_REClowmed_INNvar_OERnaq";"ASSss3";"HCR10";"REClowmed";"INNvar";"OERnaq";323481.546373948;356341.454661097;495746.078398818;705146.890379188;767647.466491008;515442.135105366;536855.488064063;65026.2407216861;1.04262715442261;0.069;7e-04;0.324;0.004;0.175;0.002;0.69;0.614666666666667;2025;0.007;0.006;2021;0;0;0;0.0565189696463883;0.0927172889345153;0.133401732177168;23971.2569916381;50000;50000;44547.0363075488;6823.11185824139;3820.94381304781;1.06664882368249
"short";"ASSss3_HCR10_RECmix_INNvar_OERnaq";"ASSss3";"HCR10";"RECmix";"INNvar";"OERnaq";245043.542142694;267046.052461166;443703.225990029;676168.795179835;749689.0405265;457970.36534786;478717.254608026;54471.4192944387;1.02861005499009;0.2742;0.0032;0.452;0.019;0.319;0.007;2.742;2.59616666666667;NA;0.032;0.031;2021;0;0;0;0.0565056563451675;0.0938531419436251;0.148802215393539;18613.9700719558;48720.3667700544;50000;40585.379421684;7058.25741014119;4375.67414633653;1.05371274994141
"short";"ASSss3_HCR7_REClow_INNvar_OERnaq";"ASSss3";"HCR7";"REClow";"INNvar";"OERnaq";279963.431853243;296611.540784441;362758.729971081;451487.109578766;482435.336756862;370087.423814251;366805.399318804;28671.282622782;1.00716458941593;0.3278;2e-04;0.776;0.002;0.374;0.002;3.278;2.55066666666667;NA;0.002;0.002;2021;0.8307;1;8.307;0;0;0;0;1e-06;1e-06;8.056e-07;3.61166472183978e-07;3.09222222222222e-07;1
"short";"ASSss3_HCR7_REClowmed_INNvar_OERnaq";"ASSss3";"HCR7";"REClowmed";"INNvar";"OERnaq";362535.537095493;404343.150299288;577720.896020033;804234.585971925;869890.829667159;592705.490232873;657139.912719055;66141.7931667342;1.0635071748264;0.0291;2e-04;0.188;0.002;0.177;0.002;0.291;0.287;2023;0.002;0.002;2021;0.8159;1;8.159;0;0;0;0;1e-06;1e-06;7.992e-07;3.65445595421281e-07;3.16777777777778e-07;1
"short";"ASSss3_HCR7_RECmix_INNvar_OERnaq";"ASSss3";"HCR7";"RECmix";"INNvar";"OERnaq";294811.251404611;322050.911183872;545613.704593463;782762.407751971;854457.141686823;554340.507876316;633379.079539691;61120.578702126;1.06328426588917;0.1234;0;0.331;0;0.322;0;1.234;1.19;2028;0;0;2021;0.8111;1;8.111;0;0;0;0;1e-06;1e-06;8.055e-07;3.6014381482821e-07;3.13333333333333e-07;1
"short";"ASSss3_HCR8_REClow_INNvar_OERnaq";"ASSss3";"HCR8";"REClow";"INNvar";"OERnaq";228243.88793935;244018.11825764;310567.76804295;397244.753874701;429640.280451965;317031.502126904;292907.893225873;31692.4181244518;0.985938302036912;0.6692;0.0054;0.99;0.037;0.784;0.014;6.692;5.39633333333333;NA;0.054;0.053;2021;0;0;0;0.0536229143408622;0.0998791590726694;0.148005138123166;15188.4976168782;30502.7760571316;40000;30036.1235160092;6596.43046388363;4864.0510402781;1.0267258895743
